step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,65,1,1.4520279322599243,0.0,0.5813953488372093
2,178,2,1.3318993830504269,0.0,0.5897435897435898
3,291,3,0.9082504721507922,0.0,0.7631578947368421
4,340,4,0.5519549532765147,0.0,0.8421052631578947
5,453,5,0.7708818881021476,0.0,0.8131868131868132
6,558,6,0.7181768061547702,0.0,0.7432432432432432
7,663,7,1.1061656082205138,0.0,0.6
8,744,8,0.7991498024168395,0.0,0.7894736842105263
9,833,9,0.59340804137283,0.0,0.8360655737704918
10,890,10,0.669105263872438,0.0,0.75
11,1027,11,0.63253227384379,0.0,0.8365384615384616
12,1100,12,1.1716185761618219,0.0,0.6862745098039216
13,1173,13,1.1020223148335209,0.0,0.6792452830188679
14,1286,14,1.3719366987377903,0.0,0.7425742574257426
15,1343,15,0.39228728399218066,0.0,0.8181818181818182
16,1464,16,0.772776312554917,0.0,0.7419354838709677
17,1561,17,0.5246758258933588,0.0,0.8484848484848485
18,1610,18,0.28927254798214563,0.0,0.7058823529411765
19,1715,19,0.7745416860977666,0.0,0.7160493827160493
20,1764,20,0.4882347209599478,0.0,0.8076923076923077
21,1813,21,0.6204818528606423,0.0,0.7407407407407407
22,1894,22,0.5674905660740579,0.0,0.7090909090909091
23,1951,23,0.9549163516458948,0.0,0.6571428571428571
24,2064,24,1.5474544323018264,0.0,0.4810126582278481
25,2169,25,0.7693527430156526,0.0,0.6842105263157895
26,2210,26,0.13270100807712878,0.0,0.8666666666666667
27,2323,27,0.6030580018832098,0.0,0.7727272727272727
28,2364,28,1.322682079819264,0.0,0.55
29,2405,29,0.16022881355114804,0.0,0.875
30,2486,30,0.5277631589530675,0.0,0.7931034482758621
31,2527,31,1.2960558468141974,0.0,0.6551724137931034
32,2616,32,1.2691655338957406,0.0,0.6129032258064516
33,2713,33,0.41784605750903847,0.0,0.8589743589743589
34,2826,34,0.8994295177156736,0.0,0.7023809523809523
35,2947,35,1.0336871522574747,0.0,0.7311827956989247
36,3004,36,0.2101367338273433,0.0,0.8095238095238095
37,3069,37,1.3637119249298235,0.0,0.48717948717948717
38,3158,38,0.984148904506811,0.0,0.7096774193548387
39,3255,39,1.8885324130808991,0.0,0.5405405405405406
40,3344,40,0.8848822729167668,0.0,0.6833333333333333
41,3473,41,0.4599657314037559,0.0,0.8
42,3626,42,0.8165333114085515,0.0,0.8048780487804879
43,3667,43,0.9933636332813477,0.0,0.6666666666666666
44,3724,44,0.5620174533495758,0.0,0.7674418604651163
45,3813,45,0.3925217981170677,0.0,0.8870967741935484
46,3902,46,0.993774448089131,0.0,0.6956521739130435
